Ticker,Date,Future_5D_Return,Large_Move
NVDA,2023-05-25,0.035466038396666066,False
WMT,2023-11-16,0.00012819964645349735,False
GS,2024-11-06,-0.00295313571479483,False
KO,2019-02-14,-0.006799766884260761,False
KO,2019-07-23,-0.011227693535671657,False
WMT,2022-05-17,-0.05496762458987281,True
JPM,2024-11-06,-0.023880814194070843,False
JNJ,2023-07-20,0.03153579644025628,False
WMT,2024-05-16,0.012966632931736388,False
WMT,2020-07-07,0.03985825371899199,False
PFE,2021-11-05,0.02304050437815186,False
JNJ,2025-04-01,-0.021207177814029365,False
TSLA,2021-10-25,0.1792733096520307,True
MSFT,2026-01-29,-0.09188001516093569,True
TSLA,2019-07-25,0.021982312972291584,False
V,2022-01-28,0.0017105236388088585,False
TSLA,2024-10-24,-0.04080929220849294,False
JNJ,2025-07-16,0.02621681852301072,False
WMT,2026-08-20,-0.011652533967117962,False
PFE,2023-05-22,-0.04490326912172382,False
TSLA,2019-10-24,0.05085428287066529,True
JPM,2020-11-09,0.0034217409808188215,False
CAT,2023-08-01,-0.019954891286477983,False
MSFT,2026-07-30,0.10809128483331865,True
JPM,2024-04-12,0.01646703800088911,False
KO,2023-10-05,0.008209245826791944,False
CVX,2020-03-09,-0.13598613449487018,True
V,2024-09-24,0.017669944078702704,False
MSFT,2024-10-31,0.04695456204178128,False
NVDA,2024-02-22,0.007308531956989439,False
WMT,2022-07-26,0.08771927355629527,True
V,2026-04-29,-0.047960336442506524,False
WMT,2025-02-20,-0.004320524358614075,False
V,2025-12-11,0.0010994557111478898,False
WMT,2020-03-02,0.011045898925600373,False
WMT,2024-08-15,0.032795866573796184,False
CAT,2020-03-09,-0.1024310181990421,True
CAT,2024-11-06,-0.07150738152330782,True
CAT,2025-10-29,-0.02790818988002086,False
CAT,2023-06-02,0.03706479157880227,False
MSFT,2025-04-09,-0.04834952330399189,False
BA,2023-07-26,-0.006099648412073333,False
NVDA,2025-01-27,-0.014862308174714123,False
WMT,2021-02-18,-0.0414789730810281,False
KO,2022-05-18,0.046895406799124295,False
V,2025-06-13,-0.025790012600555134,False
CVX,2020-11-09,0.12040298960797702,True
CAT,2022-04-22,-0.02662972577141709,False
WMT,2019-08-15,-0.006921599081629259,False
MA,2023-10-26,0.04964482373438783,False
JNJ,2019-10-18,0.005090126631223546,False
CVX,2019-04-12,0.017869066061088734,False
V,2019-08-05,0.044297025349415486,False
AAPL,2025-04-09,-0.023032445011193392,False
AAPL,2020-07-31,0.04566629792935806,False
PFE,2020-01-28,-0.011798629802532878,False
JNJ,2019-05-29,0.02322396260742754,False
BA,2025-12-02,-0.02439385357149859,False
CAT,2024-04-25,-0.0075739572739460526,False
WMT,2019-08-05,-0.0056700271113142575,False
TSLA,2024-01-25,0.034112662547080674,False
TSLA,2021-03-09,0.004899154444095499,False
KO,2020-11-09,0.024348464651463342,False
PFE,2025-09-30,0.031004746064371647,False
PFE,2024-05-01,0.040103022087911055,False
BA,2024-01-08,-0.12436679357003966,True
TSLA,2020-02-03,-0.0111794838538537,False
AAPL,2023-08-04,-0.02307825748809622,False
WMT,2026-05-21,-0.04606886852315695,False
XOM,2020-11-09,0.03330624240650071,False
BA,2020-11-09,0.12845669718849861,True
PFE,2019-07-30,-0.04743492575767061,False
WMT,2025-10-14,-0.009234193379569877,False
V,2020-01-31,0.01894760139383611,False
JNJ,2024-05-01,-0.014750600843866146,False
V,2025-04-04,0.0647334611745618,True
JPM,2020-03-09,-0.05436645653172156,True
CAT,2025-04-03,-0.054290965375884404,True
MA,2021-07-19,0.0748391699887081,True
KO,2025-10-21,-0.014883425167446007,False
MA,2022-01-28,-0.0008104299251766589,False
MA,2025-04-04,0.040794682064054344,False
JNJ,2022-02-25,0.02096382968397026,False
MSFT,2025-07-31,-0.023730034010367884,False
JNJ,2024-07-17,-0.0019159729738763565,False
JNJ,2020-06-11,0.018030869830079066,False
