Date,AAPL,BA,CAT,CVX,GS,JNJ,JPM,KO,MA,MSFT,NVDA,PFE,TSLA,V,WMT,XOM
2019-01-02,39.47999954223633,323.80999755859375,126.37999725341797,110.69000244140625,172.02999877929688,127.75,99.30999755859375,46.93000030517578,189.74000549316406,101.12000274658203,3.4054999351501465,41.034156799316406,20.674667358398438,132.9199981689453,31.113332748413086,69.69000244140625
2019-01-03,35.54750061035156,310.8999938964844,121.51000213623047,108.56999969482422,169.50999450683594,125.72000122070312,97.11000061035156,46.63999938964844,181.17999267578125,97.4000015258789,3.1997499465942383,39.886146545410156,20.02400016784668,128.1300048828125,30.953332901000977,68.62000274658203
2019-01-04,37.064998626708984,327.0799865722656,128.14999389648438,110.81999969482422,175.0500030517578,127.83000183105469,100.69000244140625,47.56999969482422,189.75999450683594,101.93000030517578,3.404750108718872,40.79696273803711,21.179332733154297,133.64999389648438,31.14666748046875,71.1500015258789
2019-01-07,36.98249816894531,328.1099853515625,128.22999572753906,112.26000213623047,176.02000427246094,127.01000213623047,100.76000213623047,46.95000076293945,191.22000122070312,102.05999755859375,3.5850000381469727,41.01517868041992,22.33066749572754,136.05999755859375,31.51333236694336,71.5199966430664
2019-01-08,37.6875,340.5299987792969,129.77000427246094,111.7699966430664,175.3699951171875,129.9600067138672,100.56999969482422,47.47999954223633,192.27999877929688,102.80000305175781,3.4957499504089355,41.204933166503906,22.356666564941406,136.8000030517578,31.733333587646484,72.04000091552734
2019-01-09,38.32749938964844,343.8299865722656,130.27000427246094,113.2699966430664,176.47000122070312,128.92999267578125,100.4000015258789,46.56999969482422,195.77000427246094,104.2699966430664,3.564500093460083,41.119544982910156,22.568666458129883,138.41000366210938,31.6299991607666,72.41999816894531
2019-01-10,38.45000076293945,352.6099853515625,132.9600067138672,113.44999694824219,176.0,129.7100067138672,100.38999938964844,47.06999969482422,196.9499969482422,103.5999984741211,3.6307499408721924,40.14231491088867,22.99799919128418,138.6699981689453,31.65333366394043,72.05000305175781
2019-01-11,38.0724983215332,352.8999938964844,132.10000610351562,112.54000091552734,176.92999267578125,129.75,99.91000366210938,47.34000015258789,195.89999389648438,102.80000305175781,3.720750093460083,40.68311309814453,23.150667190551758,138.05999755859375,31.613332748413086,71.72000122070312
2019-01-14,37.5,350.3599853515625,131.8000030517578,111.72000122070312,178.72000122070312,128.27999877929688,100.94000244140625,47.150001525878906,195.42999267578125,102.05000305175781,3.760999917984009,40.199241638183594,22.293333053588867,137.10000610351562,31.649999618530273,71.62999725341797
2019-01-15,38.26750183105469,352.239990234375,130.69000244140625,112.12000274658203,179.91000366210938,129.36000061035156,101.68000030517578,47.56999969482422,196.52000427246094,105.01000213623047,3.7467501163482666,40.54079818725586,22.961999893188477,137.33999633789062,32.08333206176758,71.66999816894531
2019-01-16,38.73500061035156,352.05999755859375,131.66000366210938,111.4000015258789,197.0800018310547,128.0399932861328,102.5,46.91999816894531,197.77000427246094,105.37999725341797,3.7209999561309814,39.95256042480469,23.06999969482422,137.33999633789062,32.116668701171875,71.63999938964844
2019-01-17,38.96500015258789,359.0899963378906,134.5399932861328,111.95999908447266,199.08999633789062,129.08999633789062,102.91999816894531,47.060001373291016,199.30999755859375,106.12000274658203,3.7929999828338623,40.29411697387695,23.15399932861328,137.27999877929688,32.246665954589844,72.12999725341797
